001,53
002,26
003,24
004,21
005,20
006,20
007,19
008,20
009,20
010,20
011,20
012,20
013,20
014,20
015,22
016,20
017,19
018,20
019,18
020,19
021,20
022,20
023,21
024,19
025,19
026,20
027,19
028,100
029,100
030,100
031,100
032,100
033,100
034,100
035,100
036,100
037,100
038,100
039,100
040,100
041,100
042,100
043,100
044,100
045,100
046,100
047,100
048,100
049,100
050,100
051,100
052,100
053,100
054,100
055,100
056,100
057,100
058,100
059,100
060,100
061,100
062,100
063,100
064,100
065,100
066,100
067,100
068,100
069,100
070,100
071,100
072,100
073,100
074,100
075,100
076,100
077,100
078,100
079,100
080,100
081,100
082,100
083,100
084,100
085,100
086,100
087,100
088,100
089,100
090,100
091,100
092,100
093,100
094,100
095,100
096,100
097,20
